Move,PredictedMoveType,lefthand,righthand,leftfoot,rightfoot
Move 01,reach,contour_5,contour_6,hanging,contour_0
Move 02,smear,contour_4,contour_5,contour_0,contour_0
Move 03,reach,hanging,contour_6,contour_0,contour_0
Move 04,smear,hanging,contour_5,contour_0,contour_0
Move 05,reach,hanging,contour_6,contour_0,contour_0
Move 06,reach,hanging,contour_6,hanging,contour_1
Move 07,smear,hanging,contour_6,contour_1,contour_2
Move 08,smear,hanging,contour_6,hanging,hanging
Move 09,smear,hanging,contour_6,contour_3,contour_1
Move 10,reach,hanging,contour_6,contour_3,contour_1
Move 11,reach,hanging,contour_7,contour_3,contour_1
Move 12,reach,hanging,contour_7,contour_3,contour_1
Move 13,reach,contour_9,contour_8,contour_3,contour_1
Move 14,reach,hanging,contour_8,hanging,contour_3
Move 15,reach,hanging,contour_8,hanging,contour_3
Move 16,reach,hanging,contour_10,hanging,contour_3
Move 17,reach,hanging,contour_10,hanging,contour_3
Move 18,reach,contour_9,contour_10,contour_5,contour_6
Move 19,reach,contour_9,contour_10,contour_5,contour_6
