epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,435.771,0.61385,2.54152,1.02687,0.47335,0.31213,0.33976,0.30458,0.45442,2.48624,0.86545,0.00033,0.00033,0.00033
2,910.435,0.61909,1.8293,0.99189,0.34772,0.66892,0.42486,0.37654,0.4792,1.96937,0.88492,0.000650199,0.000650199,0.000650199
3,1431,0.6093,1.71754,0.98934,0.40545,0.68882,0.52761,0.46184,0.47369,1.89673,0.89763,0.000957199,0.000957199,0.000957199
4,1902.78,0.60822,1.60642,0.98246,0.36441,0.54591,0.40989,0.35139,0.50928,1.91761,0.902,0.0009406,0.0009406,0.0009406
5,2306.09,0.58407,1.52042,0.97019,0.55007,0.64398,0.61739,0.55159,0.46059,1.71379,0.8617,0.0009208,0.0009208,0.0009208
6,2715.18,0.57176,1.47604,0.96904,0.57158,0.58431,0.59868,0.54624,0.43093,1.4285,0.866,0.000901,0.000901,0.000901
7,3128.87,0.55236,1.36601,0.96131,0.64514,0.57486,0.61814,0.56665,0.4146,1.34808,0.84877,0.0008812,0.0008812,0.0008812
8,3546.81,0.53471,1.26376,0.95665,0.64573,0.59929,0.64838,0.59306,0.40442,1.51452,0.85468,0.0008614,0.0008614,0.0008614
9,3964,0.54563,1.27538,0.9623,0.6668,0.63732,0.64986,0.59457,0.40826,1.3185,0.8476,0.0008416,0.0008416,0.0008416
10,4382.55,0.534,1.22481,0.9614,0.61941,0.6827,0.70745,0.65248,0.38838,1.27777,0.84057,0.0008218,0.0008218,0.0008218
11,4802.4,0.52056,1.12278,0.941,0.53894,0.66399,0.5936,0.54426,0.37717,1.34274,0.83906,0.000802,0.000802,0.000802
12,5221.09,0.5165,1.12222,0.9501,0.66975,0.70846,0.71827,0.66843,0.37622,1.20195,0.84017,0.0007822,0.0007822,0.0007822
13,5642.48,0.51858,1.03964,0.94391,0.6089,0.65783,0.67793,0.62388,0.38484,1.13517,0.84017,0.0007624,0.0007624,0.0007624
14,6067.03,0.50394,1.04696,0.94658,0.6856,0.68235,0.74501,0.70431,0.36684,1.0536,0.82979,0.0007426,0.0007426,0.0007426
15,6493.28,0.48076,1.01305,0.93493,0.71413,0.69254,0.74195,0.69785,0.35146,1.02026,0.83173,0.0007228,0.0007228,0.0007228
16,6920.75,0.48091,0.96464,0.93242,0.73256,0.67199,0.77992,0.73246,0.35978,1.00935,0.82979,0.000703,0.000703,0.000703
17,7350.73,0.4822,0.94978,0.93808,0.781,0.71934,0.82273,0.78114,0.35712,0.88719,0.82607,0.0006832,0.0006832,0.0006832
18,7780.6,0.48048,0.87333,0.93405,0.73037,0.70641,0.77282,0.72912,0.36768,0.97546,0.8334,0.0006634,0.0006634,0.0006634
19,8207.12,0.46579,0.84919,0.92783,0.73883,0.68284,0.78511,0.73767,0.36206,1.04167,0.83367,0.0006436,0.0006436,0.0006436
20,8640.06,0.47881,0.84709,0.93363,0.6941,0.74032,0.79627,0.75292,0.35346,0.91134,0.82734,0.0006238,0.0006238,0.0006238
21,9070.45,0.47956,0.82669,0.93753,0.7101,0.73049,0.79771,0.75871,0.34304,0.93763,0.82826,0.000604,0.000604,0.000604
22,9506.54,0.46558,0.81574,0.93367,0.75874,0.7666,0.82831,0.7846,0.34914,0.82053,0.82965,0.0005842,0.0005842,0.0005842
23,9943.36,0.46182,0.78301,0.93242,0.73552,0.74418,0.8289,0.78611,0.33713,0.91005,0.82357,0.0005644,0.0005644,0.0005644
24,10380,0.45455,0.7708,0.92777,0.69282,0.76241,0.83235,0.79279,0.33937,0.88268,0.82443,0.0005446,0.0005446,0.0005446
25,10815.7,0.46189,0.73488,0.92489,0.82843,0.75477,0.83808,0.79563,0.33673,0.81763,0.82512,0.0005248,0.0005248,0.0005248
26,11252.2,0.45365,0.69664,0.92754,0.78178,0.78338,0.86085,0.8204,0.32818,0.75211,0.82169,0.000505,0.000505,0.000505
27,11690.5,0.43487,0.73194,0.92956,0.75599,0.75327,0.83342,0.78947,0.34125,0.78136,0.82601,0.0004852,0.0004852,0.0004852
28,12129.3,0.44249,0.70184,0.92716,0.75894,0.71502,0.80824,0.76554,0.33487,0.95511,0.82737,0.0004654,0.0004654,0.0004654
29,12567.1,0.44469,0.66568,0.92438,0.77573,0.76405,0.84195,0.80399,0.32951,0.7743,0.82044,0.0004456,0.0004456,0.0004456
30,13001.3,0.43697,0.63168,0.91482,0.74795,0.74821,0.82969,0.79533,0.32159,0.91069,0.8149,0.0004258,0.0004258,0.0004258
